Date,Open,High,Low,Close,Adj Close,Volume
2006-11-01,80.010002,80.750000,79.720001,80.059998,59.408970,3180100
2006-11-02,80.059998,80.400002,79.110001,79.199997,58.770798,4044600
2006-11-03,79.470001,80.349998,79.389999,79.970001,59.342175,2706700
2006-11-06,79.980003,80.870003,79.980003,80.480003,59.720631,3082600
2006-11-07,80.730003,84.980003,80.599998,84.849998,62.963406,11846400
2006-11-08,84.250000,85.870003,83.529999,85.449997,63.633625,8496700
2006-11-09,85.750000,86.500000,85.050003,85.110001,63.380428,6147800
2006-11-10,86.400002,86.980003,85.440002,85.620003,63.760239,5496600
2006-11-13,85.699997,86.339996,85.290001,85.690002,63.812355,3360100
2006-11-14,85.690002,86.089996,84.760002,85.739998,63.849575,3463100
2006-11-15,86.400002,87.580002,86.349998,87.080002,64.847466,5850900
2006-11-16,87.919998,89.430000,87.500000,88.709999,66.061310,6966900
2006-11-17,89.050003,89.629997,88.570000,89.519997,66.664520,5748600
2006-11-20,89.050003,89.220001,88.620003,89.120003,66.366631,5571500
2006-11-21,89.849998,92.050003,89.570000,91.099998,67.841087,8516400
2006-11-22,91.099998,91.589996,89.779999,90.099998,67.096413,4480800
2006-11-24,89.250000,90.080002,89.150002,89.769997,66.850685,1213700
2006-11-27,90.000000,90.029999,86.949997,87.370003,65.063400,6282300
2006-11-28,88.150002,88.739998,87.050003,87.940002,65.487885,4950600
2006-11-29,88.239998,89.449997,87.930000,88.889999,66.195351,4427600
2006-11-30,89.099998,89.440002,87.099998,88.529999,65.927261,4194000
2006-12-01,89.599998,90.050003,88.650002,89.550003,66.686852,5154400
2006-12-04,89.550003,90.599998,89.419998,89.580002,66.709190,3492900
2006-12-05,89.589996,91.099998,89.169998,90.730003,67.565590,4385100
2006-12-06,91.599998,91.849998,90.760002,90.830002,67.640053,4214800
2006-12-07,91.300003,91.650002,89.750000,90.010002,67.029419,3784500
2006-12-08,90.070000,90.720001,89.529999,90.129997,67.118767,2796300
2006-12-11,89.769997,90.199997,89.519997,89.779999,66.858139,2365000
2006-12-12,90.029999,90.750000,89.750000,90.309998,67.252777,3634800
2006-12-13,90.820000,90.989998,89.389999,89.599998,66.724075,3695000
2006-12-14,89.300003,90.129997,89.080002,89.930000,66.969833,3510400
2006-12-15,90.169998,90.900002,90.169998,90.699997,67.543205,5305000
2006-12-18,90.750000,90.900002,89.410004,89.559998,66.694298,2626500
2006-12-19,89.000000,90.440002,88.970001,90.169998,67.148552,2628900
2006-12-20,90.180000,90.599998,89.180000,90.099998,67.096413,3296000
2006-12-21,89.800003,90.400002,89.459999,89.940002,66.977287,2834600
2006-12-22,89.650002,89.669998,88.349998,88.760002,66.098549,2511700
2006-12-26,88.949997,89.000000,88.349998,88.790001,66.120895,1566200
2006-12-27,89.150002,89.449997,88.739998,88.879997,66.187912,2007400
2006-12-28,88.849998,89.199997,88.410004,89.000000,66.277275,1274600
2006-12-29,89.250000,89.459999,88.750000,88.839996,66.158112,1780300
2007-01-03,88.900002,90.300003,88.449997,89.169998,66.403877,4871700
2007-01-04,88.339996,89.830002,87.010002,89.529999,66.671951,2718900
2007-01-05,89.779999,90.000000,88.500000,89.150002,66.388969,3285900
2007-01-08,88.610001,89.410004,87.559998,88.940002,66.232567,2989000
2007-01-09,88.930000,89.709999,87.559998,88.000000,65.532600,4193800
2007-01-10,88.040001,89.339996,88.000000,89.269997,66.478325,3955200
2007-01-11,88.970001,89.269997,88.320000,88.839996,66.158112,4048600
2007-01-12,88.540001,88.849998,87.500000,88.129997,65.629364,3890500
2007-01-16,88.250000,88.510002,87.300003,88.000000,65.532600,5537800
2007-01-17,88.019997,89.540001,87.220001,88.830002,66.150665,4501400
2007-01-18,89.129997,89.379997,87.760002,88.000000,65.532600,3348000
2007-01-19,88.449997,89.099998,87.800003,88.629997,66.001732,4368900
2007-01-22,87.510002,87.860001,84.820000,85.599998,63.745331,8426800
2007-01-23,85.010002,88.180000,85.000000,87.360001,65.055977,6559700
2007-01-24,87.349998,87.760002,86.519997,87.599998,65.234711,3368600
2007-01-25,87.300003,87.459999,86.000000,86.160004,64.162376,2850300
2007-01-26,86.000000,86.250000,84.599998,85.430000,63.618721,5149400
2007-01-29,85.050003,86.000000,85.000000,85.500000,63.670853,3116500
2007-01-30,85.750000,86.599998,85.550003,86.000000,64.043198,3151100
2007-01-31,89.300003,90.339996,89.000000,89.559998,66.694298,11568600
2007-02-01,89.949997,92.239998,89.730003,91.050003,67.803879,6622200
2007-02-02,91.050003,91.480003,89.949997,90.050003,67.059204,5098100
2007-02-05,90.449997,91.419998,90.309998,90.720001,67.558128,3028600
2007-02-06,91.000000,91.000000,89.900002,90.980003,67.751755,3521700
2007-02-07,90.589996,91.199997,89.699997,90.349998,67.542435,2813600
2007-02-08,89.639999,90.360001,88.550003,89.519997,66.921959,5155600
2007-02-09,89.349998,90.300003,89.029999,90.000000,67.280785,4282800
2007-02-12,89.550003,89.889999,88.779999,89.199997,66.682716,3449200
2007-02-13,89.199997,89.370003,88.300003,89.290001,66.750015,3009800
2007-02-14,89.269997,90.169998,89.269997,89.940002,67.235947,3865800
2007-02-15,90.019997,91.800003,89.860001,91.709999,68.559128,5702200
2007-02-16,91.980003,92.000000,90.730003,90.940002,67.983498,4545500
2007-02-20,91.500000,91.690002,89.839996,91.029999,68.050766,3940500
2007-02-21,90.300003,92.000000,90.050003,90.959999,67.998451,4971700
2007-02-22,91.099998,91.930000,90.269997,90.580002,67.714371,3176500
2007-02-23,90.209999,90.849998,90.000000,90.279999,67.490112,2341700
2007-02-26,90.480003,90.730003,88.559998,88.930000,66.480888,4537900
2007-02-27,88.000000,88.699997,85.239998,87.199997,65.187592,5937900
2007-02-28,87.400002,88.410004,86.050003,87.260002,65.232468,6093600
2007-03-01,86.599998,88.800003,85.910004,87.849998,65.673523,5151800
2007-03-02,87.870003,88.540001,87.010002,87.029999,65.060516,4307200
2007-03-05,86.959999,88.190002,86.389999,87.019997,65.053047,3783200
2007-03-06,88.029999,88.029999,87.050003,87.820000,65.651093,3321800
2007-03-07,87.820000,89.250000,87.820000,88.709999,66.316437,5205900
2007-03-08,88.980003,89.669998,88.610001,88.889999,66.450981,2811500
2007-03-09,89.699997,90.089996,89.139999,89.510002,66.914482,2820600
2007-03-12,89.000000,91.870003,89.000000,91.199997,68.177872,5964200
2007-03-13,90.900002,91.099998,89.449997,89.449997,66.869637,5247800
2007-03-14,89.449997,90.300003,88.529999,89.980003,67.265831,4027900
2007-03-15,89.980003,91.059998,89.570000,91.040001,68.058250,3513900
2007-03-16,91.040001,91.040001,89.680000,90.000000,67.280785,5815100
2007-03-19,90.500000,90.949997,89.900002,90.320000,67.520004,3568400
2007-03-20,90.320000,90.930000,90.019997,90.160004,67.400383,3485800
2007-03-21,90.160004,90.949997,89.449997,90.800003,67.878853,4230100
