Date,Open,High,Low,Close,Adj Close,Volume
2006-11-01,35.200001,35.200001,34.849998,34.900002,22.585640,24251600
2006-11-02,34.880001,34.910000,34.619999,34.709999,22.462673,23411200
2006-11-03,34.779999,35.000000,34.689999,34.770000,22.501503,19068400
2006-11-06,35.020000,35.410000,34.900002,35.270000,22.825085,26821200
2006-11-07,35.349998,35.650002,35.270000,35.540001,22.999817,24410500
2006-11-08,35.450001,35.750000,35.400002,35.580002,23.025705,17891600
2006-11-09,35.509998,35.660000,35.250000,35.290001,22.838026,18721400
2006-11-10,35.299999,35.310001,35.119999,35.169998,22.760365,17988200
2006-11-13,35.279999,35.660000,35.279999,35.360001,22.883324,20829000
2006-11-14,35.459999,35.750000,35.180000,35.590000,23.032173,28516900
2006-11-15,35.509998,35.919998,35.490002,35.790001,23.161598,23772200
2006-11-16,35.869999,36.130001,35.869999,35.959999,23.271616,22899700
2006-11-17,35.849998,36.270000,35.779999,36.250000,23.459290,30558800
2006-11-20,36.169998,36.279999,35.930000,35.980000,23.284552,20053600
2006-11-21,35.980000,36.000000,35.720001,35.799999,23.168072,25107200
2006-11-22,35.799999,36.090000,35.720001,35.990002,23.291039,18785000
2006-11-24,35.849998,35.880001,35.689999,35.689999,23.096882,7260600
2006-11-27,35.570000,35.750000,35.279999,35.450001,22.941568,24611300
2006-11-28,35.299999,35.360001,35.049999,35.200001,22.779778,24975900
2006-11-29,35.250000,35.439999,35.189999,35.349998,22.876852,18155700
2006-11-30,35.410000,35.500000,35.160000,35.279999,22.831553,23653800
2006-12-01,35.380001,35.400002,34.959999,35.279999,22.831553,23993600
2006-12-04,35.430000,35.500000,35.270000,35.389999,22.902740,18821400
2006-12-05,35.410000,35.500000,35.130001,35.270000,22.825085,30242900
2006-12-06,35.349998,35.450001,35.070000,35.110001,22.721533,40309500
2006-12-07,35.160000,35.389999,35.090000,35.160000,22.753897,25591400
2006-12-08,35.150002,35.360001,35.000000,35.270000,22.825085,22361800
2006-12-11,35.240002,35.520000,35.049999,35.220001,22.792725,30071800
2006-12-12,35.209999,35.919998,35.070000,35.639999,23.064531,49751600
2006-12-13,35.849998,35.919998,35.400002,35.500000,22.973928,45178300
2006-12-14,35.490002,36.330002,35.360001,36.209999,23.433403,43231200
2006-12-15,36.279999,37.509998,36.209999,37.360001,24.177628,88383400
2006-12-18,37.450001,38.130001,37.410000,38.000000,24.591816,50056900
2006-12-19,37.750000,38.070000,37.750000,38.009998,24.598278,31371700
2006-12-20,38.130001,38.490002,38.009998,38.150002,24.688887,36884600
2006-12-21,38.049999,38.060001,37.630001,37.770000,24.623682,24847000
2006-12-22,37.889999,37.900002,37.509998,37.570000,24.493301,15578900
2006-12-26,37.599998,37.740002,37.430000,37.709999,24.584572,11997100
2006-12-27,37.790001,38.029999,37.570000,37.790001,24.636730,16016200
2006-12-28,37.759998,37.759998,37.450001,37.480000,24.434629,16862500
2006-12-29,37.480000,37.520000,37.160000,37.209999,24.258604,25271100
2007-01-03,37.410000,38.150002,37.380001,37.970001,24.754076,43222800
2007-01-04,37.970001,38.000000,37.450001,37.750000,24.610651,31288800
2007-01-05,37.570000,37.759998,37.310001,37.560001,24.486782,27027200
2007-01-08,37.450001,37.669998,37.250000,37.549999,24.480257,23713700
2007-01-09,37.779999,37.990002,37.360001,37.549999,24.480257,24597400
2007-01-10,37.380001,37.610001,37.340000,37.560001,24.486782,23996600
2007-01-11,37.500000,37.959999,37.419998,37.919998,24.721478,30831700
2007-01-12,37.840000,38.000000,37.669998,37.889999,24.701916,25944000
2007-01-16,38.000000,38.250000,37.930000,38.110001,24.845343,31118200
2007-01-17,38.180000,38.279999,37.849998,37.980000,24.760599,30462800
2007-01-18,38.009998,38.169998,37.259998,38.000000,24.773642,41603000
2007-01-19,37.150002,37.500000,36.849998,36.950001,24.089102,62906000
2007-01-22,37.130001,37.330002,36.590000,36.750000,23.958714,41384700
2007-01-23,36.680000,36.740002,36.380001,36.549999,23.828325,35136000
2007-01-24,36.700001,36.750000,36.520000,36.639999,23.887003,21458500
2007-01-25,36.650002,36.700001,36.259998,36.340000,23.691408,25830200
2007-01-26,36.450001,36.549999,36.009998,36.070000,23.515394,25923800
2007-01-29,36.070000,36.349998,36.029999,36.189999,23.593630,24947500
2007-01-30,36.200001,36.340000,35.759998,36.029999,23.489317,43142100
2007-01-31,36.000000,36.220001,35.830002,36.049999,23.502354,36164300
2007-02-01,36.180000,36.240002,35.759998,36.230000,23.619701,37868900
2007-02-02,36.259998,36.400002,36.119999,36.270000,23.645779,25107200
2007-02-05,36.270000,36.480000,36.200001,36.369999,23.710972,26202100
2007-02-06,36.400002,36.439999,36.230000,36.310001,23.671850,22730000
2007-02-07,36.320000,36.349998,36.060001,36.099998,23.534945,21371700
2007-02-08,36.060001,36.060001,35.599998,35.740002,23.300251,33678200
2007-02-09,35.709999,35.840000,35.480000,35.529999,23.163349,29808800
2007-02-12,35.549999,35.880001,35.549999,35.639999,23.235064,19010300
2007-02-13,35.639999,35.900002,35.639999,35.770000,23.319811,22963000
2007-02-14,35.930000,36.500000,35.790001,36.470001,23.776171,31908100
2007-02-15,36.360001,36.470001,36.060001,36.139999,23.561026,28618800
2007-02-16,36.070000,36.099998,35.869999,35.869999,23.385000,31049400
2007-02-20,35.860001,36.130001,35.750000,36.110001,23.541473,23545600
2007-02-21,35.990002,36.099998,35.820000,35.910000,23.411081,34670300
2007-02-22,35.820000,35.880001,35.310001,35.400002,23.259958,37663800
2007-02-23,35.330002,35.349998,35.090000,35.099998,23.062840,38152200
2007-02-26,35.259998,35.380001,35.150002,35.340000,23.220535,28910600
2007-02-27,35.299999,35.689999,34.500000,34.660000,22.773735,62678500
2007-02-28,34.799999,35.080002,34.650002,34.910000,22.938002,50719300
2007-03-01,34.610001,35.220001,34.320000,35.000000,22.997129,51383500
2007-03-02,34.930000,35.150002,34.700001,34.869999,22.911718,45176900
2007-03-05,34.740002,34.970001,34.520000,34.549999,22.701462,32849400
2007-03-06,34.730000,34.840000,34.520000,34.720001,22.813160,33997500
2007-03-07,34.740002,34.750000,34.320000,34.330002,22.556910,38987200
2007-03-08,34.599998,34.639999,34.349998,34.450001,22.635752,29124500
2007-03-09,34.570000,34.639999,34.220001,34.320000,22.550339,34229800
2007-03-12,34.279999,34.630001,34.009998,34.439999,22.629185,30206600
2007-03-13,34.270000,34.380001,34.009998,34.090000,22.399208,38898100
2007-03-14,34.090000,34.400002,33.900002,34.310001,22.543764,40571200
2007-03-15,34.200001,34.680000,34.110001,34.520000,22.681744,35824800
2007-03-16,34.599998,34.840000,34.250000,34.360001,22.576612,44797300
2007-03-19,34.500000,34.669998,34.430000,34.669998,22.780308,26529200
2007-03-20,34.630001,34.849998,34.500000,34.770000,22.846016,28264400
2007-03-21,34.750000,35.700001,34.730000,35.480000,23.312515,50433800
2007-03-22,35.439999,35.840000,35.400002,35.810001,23.529354,33626200
2007-03-23,35.790001,35.910000,35.599998,35.820000,23.535925,33463800
2007-03-26,35.849998,36.000000,35.439999,36.000000,23.654196,29675300
2007-03-27,35.799999,35.900002,35.660000,35.790001,23.516211,29677300
2007-03-28,35.700001,35.730000,35.299999,35.549999,23.358521,41421500
2007-03-29,35.599998,35.730000,35.340000,35.549999,23.358521,27471800
2007-03-30,35.560001,35.580002,35.000000,35.360001,23.233677,34170100
2007-04-02,35.360001,35.529999,35.110001,35.290001,23.187685,23496200
2007-04-03,35.430000,35.599998,35.169998,35.320000,23.207386,30965900
2007-04-04,35.369999,35.380001,35.070000,35.110001,23.069412,34697400
2007-04-05,35.130001,35.189999,34.939999,35.020000,23.010277,26625300
2007-04-09,35.099998,35.150002,34.750000,34.779999,22.852570,26455900
2007-04-10,34.799999,34.990002,34.750000,34.880001,22.918289,29279000
2007-04-11,35.000000,35.200001,34.860001,34.950001,22.964283,30476200
2007-04-12,35.160000,35.240002,34.860001,35.180000,23.115408,30793700
2007-04-13,35.599998,35.599998,35.250000,35.380001,23.246820,35642900
